Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D31,Stabbing,25,Glenfield-Jane Heights (25),2017-08-17T00:00:00Z,2017
D55,Other,70,South Riverdale (70),2017-05-22T00:00:00Z,2017
D14,Shooting,78,Kensington-Chinatown (78),2017-08-20T00:00:00Z,2017
D31,Stabbing,25,Glenfield-Jane Heights (25),2017-08-22T00:00:00Z,2017
D31,Shooting,26,Downsview-Roding-CFB (26),2017-08-31T00:00:00Z,2017
D23,Shooting,5,Elms-Old Rexdale (5),2017-09-02T00:00:00Z,2017
D43,Stabbing,138,Eglinton East (138),2017-09-06T00:00:00Z,2017
D33,Stabbing,53,Henry Farm (53),2017-09-13T00:00:00Z,2017
D41,Shooting,126,Dorset Park (126),2017-09-14T00:00:00Z,2017
D51,Shooting,72,Regent Park (72),2017-09-16T00:00:00Z,2017
D52,Shooting,77,Waterfront Communities-The Island (77),2017-09-16T00:00:00Z,2017
D41,Stabbing,122,Birchcliffe-Cliffside (122),2017-09-10T00:00:00Z,2017
D31,Shooting,26,Downsview-Roding-CFB (26),2017-09-29T00:00:00Z,2017
D51,Shooting,70,South Riverdale (70),2017-10-01T00:00:00Z,2017
D51,Shooting,70,South Riverdale (70),2017-10-01T00:00:00Z,2017
D23,Shooting,6,Kingsview Village-The Westway (6),2017-10-05T00:00:00Z,2017
D23,Other,4,Rexdale-Kipling (4),2017-10-04T00:00:00Z,2017
D54,Stabbing,60,Woodbine-Lumsden (60),2017-10-07T00:00:00Z,2017
D23,Shooting,6,Kingsview Village-The Westway (6),2017-10-08T00:00:00Z,2017
D31,Shooting,21,Humber Summit (21),2017-10-14T00:00:00Z,2017
D53,Stabbing,55,Thorncliffe Park (55),2017-10-20T00:00:00Z,2017
D14,Other,93,Dovercourt-Wallace Emerson-Junction (93),2017-10-13T00:00:00Z,2017
D54,Stabbing,54,O'Connor-Parkview (54),2017-10-28T00:00:00Z,2017
D14,Other,82,Niagara (82),2013-07-14T00:00:00Z,2013
D42,Shooting,132,Malvern (132),2013-04-25T00:00:00Z,2013
D22,Stabbing,11,Eringate-Centennial-West Deane (11),2013-07-15T00:00:00Z,2013
D32,Stabbing,38,Lansing-Westgate (38),2013-04-25T00:00:00Z,2013
D31,Other,25,Glenfield-Jane Heights (25),2013-04-29T00:00:00Z,2013
D41,Stabbing,122,Birchcliffe-Cliffside (122),2013-04-30T00:00:00Z,2013
D22,Stabbing,11,Eringate-Centennial-West Deane (11),2013-07-15T00:00:00Z,2013
D22,Stabbing,11,Eringate-Centennial-West Deane (11),2013-07-15T00:00:00Z,2013
D14,Shooting,81,Trinity-Bellwoods (81),2013-05-19T00:00:00Z,2013
D54,Other,54,O'Connor-Parkview (54),2013-05-16T00:00:00Z,2013
D42,Shooting,131,Rouge (131),2013-05-29T00:00:00Z,2013
D42,Other,129,Agincourt North (129),2013-06-03T00:00:00Z,2013
D11,Shooting,87,High Park-Swansea (87),2013-08-05T00:00:00Z,2013
D54,Stabbing,57,Broadview North (57),2013-06-27T00:00:00Z,2013
D23,Shooting,5,Elms-Old Rexdale (5),2013-08-12T00:00:00Z,2013
D31,Shooting,25,Glenfield-Jane Heights (25),2013-07-28T00:00:00Z,2013
D31,Shooting,25,Glenfield-Jane Heights (25),2013-08-23T00:00:00Z,2013
D41,Other,119,Wexford/Maryvale (119),2014-01-14T00:00:00Z,2014
D31,Shooting,25,Glenfield-Jane Heights (25),2013-08-23T00:00:00Z,2013
D23,Shooting,8,Humber Heights-Westmount (8),2014-01-29T00:00:00Z,2014
D43,Other,137,Woburn (137),2014-01-29T00:00:00Z,2014
D54,Stabbing,54,O'Connor-Parkview (54),2014-02-02T00:00:00Z,2014
D41,Other,119,Wexford/Maryvale (119),2014-02-03T00:00:00Z,2014
D32,Shooting,105,Lawrence Park North (105),2014-02-04T00:00:00Z,2014
D22,Shooting,20,Alderwood (20),2014-02-09T00:00:00Z,2014
D23,Stabbing,2,Mount Olive-Silverstone-Jamestown (2),2014-02-12T00:00:00Z,2014
D54,Shooting,44,Flemingdon Park (44),2014-03-08T00:00:00Z,2014
D22,Stabbing,14,Islington-City Centre West (14),2014-03-09T00:00:00Z,2014
D12,Shooting,113,Weston (113),2013-09-03T00:00:00Z,2013
D33,Stabbing,48,Hillcrest Village (48),2013-09-12T00:00:00Z,2013
D54,Stabbing,65,Greenwood-Coxwell (65),2013-09-14T00:00:00Z,2013
D23,Shooting,7,Willowridge-Martingrove-Richview (7),2013-09-17T00:00:00Z,2013
D55,Other,65,Greenwood-Coxwell (65),2014-03-12T00:00:00Z,2014
D43,Stabbing,137,Woburn (137),2014-03-15T00:00:00Z,2014
D12,Stabbing,110,Keelesdale-Eglinton West (110),2013-09-20T00:00:00Z,2013
D55,Stabbing,70,South Riverdale (70),2014-03-15T00:00:00Z,2014
D55,Shooting,62,East End-Danforth (62),2014-03-19T00:00:00Z,2014
D55,Shooting,62,East End-Danforth (62),2014-03-19T00:00:00Z,2014
D11,Shooting,91,Weston-Pellam Park (91),2014-03-25T00:00:00Z,2014
D51,Shooting,71,Cabbagetown-South St.James Town (71),2014-04-04T00:00:00Z,2014
D42,Shooting,131,Rouge (131),2014-04-12T00:00:00Z,2014
D12,Stabbing,113,Weston (113),2013-10-13T00:00:00Z,2013
D13,Shooting,108,Briar Hill-Belgravia (108),2014-05-02T00:00:00Z,2014
D55,Shooting,65,Greenwood-Coxwell (65),2014-05-24T00:00:00Z,2014
D42,Other,130,Milliken (130),2014-06-10T00:00:00Z,2014
D51,Shooting,73,Moss Park (73),2014-07-06T00:00:00Z,2014
D32,Shooting,31,Yorkdale-Glen Park (31),2014-07-08T00:00:00Z,2014
D33,Other,46,Pleasant View (46),2014-07-15T00:00:00Z,2014
D22,Stabbing,13,Etobicoke West Mall (13),2014-08-09T00:00:00Z,2014
D12,Shooting,111,Rockcliffe-Smythe (111),2014-08-18T00:00:00Z,2014
D14,Shooting,77,Waterfront Communities-The Island (77),2014-08-26T00:00:00Z,2014
D14,Other,80,Palmerston-Little Italy (80),2014-08-30T00:00:00Z,2014
D51,Other,71,Cabbagetown-South St.James Town (71),2014-01-03T00:00:00Z,2014
D51,Other,71,Cabbagetown-South St.James Town (71),2014-09-05T00:00:00Z,2014
D54,Stabbing,62,East End-Danforth (62),2014-09-08T00:00:00Z,2014
D12,Shooting,113,Weston (113),2014-09-08T00:00:00Z,2014
D32,Shooting,40,St.Andrew-Windfields (40),2014-09-11T00:00:00Z,2014
D22,Other,14,Islington-City Centre West (14),2014-09-11T00:00:00Z,2014
D43,Shooting,137,Woburn (137),2014-09-14T00:00:00Z,2014
D33,Other,47,Don Valley Village (47),2014-09-14T00:00:00Z,2014
D31,Shooting,27,York University Heights (27),2014-09-17T00:00:00Z,2014
D23,Stabbing,2,Mount Olive-Silverstone-Jamestown (2),2014-09-23T00:00:00Z,2014
D54,Stabbing,65,Greenwood-Coxwell (65),2014-09-27T00:00:00Z,2014
D43,Shooting,139,Scarborough Village (139),2014-09-29T00:00:00Z,2014
D13,Stabbing,107,Oakwood Village (107),2014-09-30T00:00:00Z,2014
D12,Shooting,90,Junction Area (90),2014-10-05T00:00:00Z,2014
D23,Shooting,6,Kingsview Village-The Westway (6),2014-10-06T00:00:00Z,2014
D23,Shooting,6,Kingsview Village-The Westway (6),2014-10-06T00:00:00Z,2014
D51,Shooting,72,Regent Park (72),2014-10-06T00:00:00Z,2014
D33,Other,47,Don Valley Village (47),2014-10-13T00:00:00Z,2014
D11,Other,93,Dovercourt-Wallace Emerson-Junction (93),2014-10-15T00:00:00Z,2014
D31,Shooting,26,Downsview-Roding-CFB (26),2014-10-30T00:00:00Z,2014
D12,Shooting,110,Keelesdale-Eglinton West (110),2014-11-06T00:00:00Z,2014
D51,Shooting,73,Moss Park (73),2013-09-23T00:00:00Z,2013
D12,Other,111,Rockcliffe-Smythe (111),2013-05-24T00:00:00Z,2013
D52,Stabbing,76,Bay Street Corridor (76),2013-10-06T00:00:00Z,2013
D52,Other,78,Kensington-Chinatown (78),2013-10-20T00:00:00Z,2013
D51,Other,72,Regent Park (72),2013-11-01T00:00:00Z,2013
D13,Other,94,Wychwood (94),2013-11-09T00:00:00Z,2013
D55,Shooting,63,The Beaches (63),2013-11-10T00:00:00Z,2013
D32,Stabbing,105,Lawrence Park North (105),2013-11-25T00:00:00Z,2013
D12,Other,23,Pelmo Park-Humberlea (23),2013-12-26T00:00:00Z,2013
D42,Other,130,Milliken (130),2013-12-27T00:00:00Z,2013
D32,Other,33,Clanton Park (33),2013-07-04T00:00:00Z,2013
D31,Other,26,Downsview-Roding-CFB (26),2010-05-29T00:00:00Z,2010
D43,Shooting,138,Eglinton East (138),2008-02-01T00:00:00Z,2008
D52,Shooting,77,Waterfront Communities-The Island (77),2006-10-27T00:00:00Z,2006
D11,Shooting,83,Dufferin Grove (83),2012-01-27T00:00:00Z,2012
D32,Shooting,38,Lansing-Westgate (38),2012-02-20T00:00:00Z,2012
D32,Shooting,38,Lansing-Westgate (38),2012-02-20T00:00:00Z,2012
D42,Other,117,L'Amoreaux (117),2012-02-29T00:00:00Z,2012
D32,Other,51,Willowdale East (51),2012-03-11T00:00:00Z,2012
D13,Stabbing,96,Casa Loma (96),2010-06-12T00:00:00Z,2010
D22,Stabbing,15,Kingsway South (15),2012-03-23T00:00:00Z,2012
D14,Other,93,Dovercourt-Wallace Emerson-Junction (93),2010-05-08T00:00:00Z,2010
D11,Stabbing,87,High Park-Swansea (87),2010-05-29T00:00:00Z,2010
D22,Other,18,New Toronto (18),2010-06-12T00:00:00Z,2010
D23,Stabbing,7,Willowridge-Martingrove-Richview (7),2010-06-29T00:00:00Z,2010
D12,Stabbing,111,Rockcliffe-Smythe (111),2010-06-30T00:00:00Z,2010
D31,Shooting,26,Downsview-Roding-CFB (26),2010-07-02T00:00:00Z,2010
D53,Stabbing,95,Annex (95),2010-07-02T00:00:00Z,2010
D12,Shooting,111,Rockcliffe-Smythe (111),2012-04-12T00:00:00Z,2012
D41,Stabbing,43,Victoria Village (43),2012-04-15T00:00:00Z,2012
D11,Other,88,High Park North (88),2012-04-16T00:00:00Z,2012
D32,Shooting,32,Englemount-Lawrence (32),2012-05-04T00:00:00Z,2012
D53,Shooting,100,Yonge-Eglinton (100),2012-05-09T00:00:00Z,2012
D41,Other,121,Oakridge (121),2012-05-07T00:00:00Z,2012
D11,Shooting,114,Lambton Baby Point (114),2012-05-10T00:00:00Z,2012
D51,Other,73,Moss Park (73),2012-05-14T00:00:00Z,2012
D43,Shooting,133,Centennial Scarborough (133),2012-05-31T00:00:00Z,2012
D52,Shooting,76,Bay Street Corridor (76),2012-06-02T00:00:00Z,2012
D52,Shooting,76,Bay Street Corridor (76),2012-06-02T00:00:00Z,2012
D14,Shooting,81,Trinity-Bellwoods (81),2012-06-18T00:00:00Z,2012
D41,Shooting,126,Dorset Park (126),2012-06-22T00:00:00Z,2012
D32,Shooting,51,Willowdale East (51),2012-06-23T00:00:00Z,2012
D22,Shooting,14,Islington-City Centre West (14),2012-07-05T00:00:00Z,2012
D43,Shooting,136,West Hill (136),2012-07-16T00:00:00Z,2012
D43,Shooting,136,West Hill (136),2012-07-16T00:00:00Z,2012
D12,Shooting,111,Rockcliffe-Smythe (111),2012-07-17T00:00:00Z,2012
D32,Shooting,32,Englemount-Lawrence (32),2012-07-19T00:00:00Z,2012
D42,Other,127,Bendale (127),2012-07-22T00:00:00Z,2012
D31,Shooting,24,Black Creek (24),2012-08-01T00:00:00Z,2012
D42,Other,132,Malvern (132),2012-08-07T00:00:00Z,2012
D55,Other,120,Clairlea-Birchmount (120),2012-08-24T00:00:00Z,2012
D42,Shooting,132,Malvern (132),2012-09-08T00:00:00Z,2012
D55,Shooting,63,The Beaches (63),2012-09-08T00:00:00Z,2012
D23,Shooting,25,Glenfield-Jane Heights (25),2012-09-16T00:00:00Z,2012
D13,Other,108,Briar Hill-Belgravia (108),2012-09-15T00:00:00Z,2012
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2012-09-18T00:00:00Z,2012
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2012-09-18T00:00:00Z,2012
D31,Shooting,24,Black Creek (24),2012-10-11T00:00:00Z,2012
D43,Other,137,Woburn (137),2012-10-17T00:00:00Z,2012
D51,Stabbing,71,Cabbagetown-South St.James Town (71),2012-10-23T00:00:00Z,2012
D43,Shooting,135,Morningside (135),2012-10-28T00:00:00Z,2012
D32,Shooting,31,Yorkdale-Glen Park (31),2012-10-29T00:00:00Z,2012
D14,Stabbing,85,South Parkdale (85),2012-10-29T00:00:00Z,2012
D12,Shooting,115,Mount Dennis (115),2012-10-30T00:00:00Z,2012
D14,Shooting,78,Kensington-Chinatown (78),2012-11-11T00:00:00Z,2012
D23,Other,2,Mount Olive-Silverstone-Jamestown (2),2012-11-12T00:00:00Z,2012
D55,Other,64,Woodbine Corridor (64),2012-11-14T00:00:00Z,2012
D54,Stabbing,42,Banbury-Don Mills (42),2012-11-17T00:00:00Z,2012
D31,Shooting,26,Downsview-Roding-CFB (26),2012-12-02T00:00:00Z,2012
D53,Other,67,Playter Estates-Danforth (67),2012-07-02T00:00:00Z,2012
D51,Stabbing,71,Cabbagetown-South St.James Town (71),2012-12-20T00:00:00Z,2012
D22,Other,12,Markland Wood (12),2012-07-03T00:00:00Z,2012
D22,Shooting,12,Markland Wood (12),2012-11-29T00:00:00Z,2012
D41,Shooting,126,Dorset Park (126),2010-07-06T00:00:00Z,2010
D52,Shooting,78,Kensington-Chinatown (78),2010-07-10T00:00:00Z,2010
D41,Stabbing,127,Bendale (127),2010-07-14T00:00:00Z,2010
D54,Shooting,44,Flemingdon Park (44),2010-07-13T00:00:00Z,2010
D42,Shooting,128,Agincourt South-Malvern West (128),2010-07-16T00:00:00Z,2010
D31,Shooting,25,Glenfield-Jane Heights (25),2010-07-30T00:00:00Z,2010
D23,Shooting,1,West Humber-Clairville (1),2010-07-30T00:00:00Z,2010
D54,Stabbing,44,Flemingdon Park (44),2010-07-31T00:00:00Z,2010
D22,Shooting,14,Islington-City Centre West (14),2010-08-14T00:00:00Z,2010
D51,Shooting,74,North St.James Town (74),2010-08-14T00:00:00Z,2010
D32,Shooting,32,Englemount-Lawrence (32),2010-08-24T00:00:00Z,2010
D14,Stabbing,83,Dufferin Grove (83),2010-08-27T00:00:00Z,2010
D43,Shooting,137,Woburn (137),2010-09-10T00:00:00Z,2010
D31,Shooting,24,Black Creek (24),2010-09-12T00:00:00Z,2010
D23,Stabbing,8,Humber Heights-Westmount (8),2010-09-25T00:00:00Z,2010
D51,Other,90,Junction Area (90),2010-08-29T00:00:00Z,2010
D12,Shooting,113,Weston (113),2010-09-29T00:00:00Z,2010
D12,Shooting,113,Weston (113),2010-09-29T00:00:00Z,2010
D14,Shooting,85,South Parkdale (85),2010-10-04T00:00:00Z,2010
D41,Other,43,Victoria Village (43),2010-07-09T00:00:00Z,2010
D31,Shooting,24,Black Creek (24),2010-10-04T00:00:00Z,2010
D51,Shooting,72,Regent Park (72),2010-10-09T00:00:00Z,2010
D51,Shooting,72,Regent Park (72),2010-10-09T00:00:00Z,2010
D41,Shooting,121,Oakridge (121),2010-10-17T00:00:00Z,2010
D51,Shooting,72,Regent Park (72),2010-10-25T00:00:00Z,2010
D55,Stabbing,70,South Riverdale (70),2010-10-27T00:00:00Z,2010
D32,Shooting,37,Willowdale West (37),2010-11-17T00:00:00Z,2010
D33,Shooting,47,Don Valley Village (47),2010-11-20T00:00:00Z,2010
D31,Shooting,25,Glenfield-Jane Heights (25),2010-11-22T00:00:00Z,2010
D43,Shooting,137,Woburn (137),2010-11-24T00:00:00Z,2010
D52,Other,77,Waterfront Communities-The Island (77),2010-11-27T00:00:00Z,2010
D51,Shooting,72,Regent Park (72),2010-11-29T00:00:00Z,2010
D55,Other,62,East End-Danforth (62),2010-12-02T00:00:00Z,2010
D12,Shooting,111,Rockcliffe-Smythe (111),2010-12-25T00:00:00Z,2010
D51,Other,71,Cabbagetown-South St.James Town (71),2010-08-08T00:00:00Z,2010
D12,Other,30,Brookhaven-Amesbury (30),2010-09-12T00:00:00Z,2010
D43,Other,137,Woburn (137),2010-05-25T00:00:00Z,2010
D31,Stabbing,27,York University Heights (27),2013-01-01T00:00:00Z,2013
D51,Shooting,72,Regent Park (72),2013-01-18T00:00:00Z,2013
D23,Other,7,Willowridge-Martingrove-Richview (7),2013-01-19T00:00:00Z,2013
D52,Shooting,76,Bay Street Corridor (76),2005-07-31T00:00:00Z,2005
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2005-08-03T00:00:00Z,2005
D42,Shooting,132,Malvern (132),2008-02-17T00:00:00Z,2008
D43,Shooting,137,Woburn (137),2008-02-22T00:00:00Z,2008
D42,Shooting,117,L'Amoreaux (117),2005-08-05T00:00:00Z,2005
D14,Other,81,Trinity-Bellwoods (81),2008-02-23T00:00:00Z,2008
D51,Shooting,71,Cabbagetown-South St.James Town (71),2005-08-07T00:00:00Z,2005
D32,Other,33,Clanton Park (33),2008-02-28T00:00:00Z,2008
D51,Shooting,71,Cabbagetown-South St.James Town (71),2005-08-07T00:00:00Z,2005
D32,Shooting,31,Yorkdale-Glen Park (31),2008-03-14T00:00:00Z,2008
D23,Shooting,8,Humber Heights-Westmount (8),2005-08-13T00:00:00Z,2005
D22,Stabbing,13,Etobicoke West Mall (13),2008-03-18T00:00:00Z,2008
D51,Shooting,74,North St.James Town (74),2005-08-15T00:00:00Z,2005
D55,Shooting,70,South Riverdale (70),2008-03-18T00:00:00Z,2008
D54,Shooting,44,Flemingdon Park (44),2005-08-16T00:00:00Z,2005
D14,Stabbing,93,Dovercourt-Wallace Emerson-Junction (93),2008-04-17T00:00:00Z,2008
D41,Other,127,Bendale (127),2005-08-18T00:00:00Z,2005
D43,Stabbing,139,Scarborough Village (139),2008-05-04T00:00:00Z,2008
D22,Other,18,New Toronto (18),2005-08-20T00:00:00Z,2005
D12,Stabbing,90,Junction Area (90),2008-04-30T00:00:00Z,2008
D42,Shooting,139,Scarborough Village (139),2005-08-25T00:00:00Z,2005
D43,Other,139,Scarborough Village (139),2008-05-04T00:00:00Z,2008
D31,Shooting,25,Glenfield-Jane Heights (25),2005-08-30T00:00:00Z,2005
D33,Stabbing,42,Banbury-Don Mills (42),2008-05-17T00:00:00Z,2008
D51,Other,73,Moss Park (73),2005-08-31T00:00:00Z,2005
D33,Other,42,Banbury-Don Mills (42),2008-05-17T00:00:00Z,2008
D33,Stabbing,42,Banbury-Don Mills (42),2005-09-06T00:00:00Z,2005
D42,Shooting,132,Malvern (132),2008-05-28T00:00:00Z,2008
D31,Shooting,28,Rustic (28),2005-09-08T00:00:00Z,2005
D42,Shooting,118,Tam O'Shanter-Sullivan (118),2008-05-28T00:00:00Z,2008
D14,Shooting,82,Niagara (82),2005-09-09T00:00:00Z,2005
D54,Shooting,43,Victoria Village (43),2008-05-30T00:00:00Z,2008
D31,Shooting,24,Black Creek (24),2005-09-10T00:00:00Z,2005
D55,Shooting,62,East End-Danforth (62),2008-02-25T00:00:00Z,2008
D31,Shooting,25,Glenfield-Jane Heights (25),2005-09-13T00:00:00Z,2005
D14,Shooting,82,Niagara (82),2008-06-13T00:00:00Z,2008
D14,Shooting,85,South Parkdale (85),2005-09-16T00:00:00Z,2005
D14,Shooting,82,Niagara (82),2008-06-13T00:00:00Z,2008
D23,Shooting,5,Elms-Old Rexdale (5),2005-09-16T00:00:00Z,2005
D23,Shooting,5,Elms-Old Rexdale (5),2005-09-16T00:00:00Z,2005
D23,Shooting,5,Elms-Old Rexdale (5),2005-09-16T00:00:00Z,2005
D54,Other,58,Old East York (58),2005-09-22T00:00:00Z,2005
D42,Stabbing,136,West Hill (136),2005-10-01T00:00:00Z,2005
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2005-10-22T00:00:00Z,2005
D23,Shooting,1,West Humber-Clairville (1),2005-10-23T00:00:00Z,2005
D23,Shooting,1,West Humber-Clairville (1),2005-10-23T00:00:00Z,2005
D42,Shooting,117,L'Amoreaux (117),2005-11-01T01:00:00Z,2005
D13,Shooting,107,Oakwood Village (107),2005-11-09T00:00:00Z,2005
D32,Stabbing,51,Willowdale East (51),2005-11-12T00:00:00Z,2005
D12,Shooting,91,Weston-Pellam Park (91),2005-11-14T00:00:00Z,2005
D23,Shooting,1,West Humber-Clairville (1),2005-11-18T00:00:00Z,2005
D54,Other,54,O'Connor-Parkview (54),2005-11-02T01:00:00Z,2005
D41,Stabbing,126,Dorset Park (126),2005-11-26T00:00:00Z,2005
D11,Shooting,93,Dovercourt-Wallace Emerson-Junction (93),2005-11-29T00:00:00Z,2005
D31,Other,24,Black Creek (24),2005-01-26T00:00:00Z,2005
D31,Shooting,21,Humber Summit (21),2005-12-01T00:00:00Z,2005
D14,Other,85,South Parkdale (85),2005-11-05T01:00:00Z,2005
D53,Other,102,Forest Hill North (102),2005-12-16T00:00:00Z,2005
D31,Shooting,25,Glenfield-Jane Heights (25),2005-12-23T00:00:00Z,2005
D52,Shooting,64,Woodbine Corridor (64),2005-12-26T00:00:00Z,2005
D32,Stabbing,33,Clanton Park (33),2005-09-19T00:00:00Z,2005
D42,Other,116,Steeles (116),2005-01-24T00:00:00Z,2005
D13,Shooting,108,Briar Hill-Belgravia (108),2006-01-01T00:00:00Z,2006
D32,Other,39,Bedford Park-Nortown (39),2006-01-26T00:00:00Z,2006
D31,Shooting,25,Glenfield-Jane Heights (25),2006-02-06T00:00:00Z,2006
D42,Stabbing,117,L'Amoreaux (117),2006-02-09T00:00:00Z,2006
D42,Stabbing,117,L'Amoreaux (117),2006-02-09T00:00:00Z,2006
D42,Stabbing,117,L'Amoreaux (117),2006-02-09T00:00:00Z,2006
D54,Stabbing,44,Flemingdon Park (44),2006-02-08T00:00:00Z,2006
D54,Other,61,Taylor-Massey (61),2006-03-02T00:00:00Z,2006
D43,Other,134,Highland Creek (134),2006-03-04T00:00:00Z,2006
D31,Shooting,22,Humbermede (22),2006-03-12T00:00:00Z,2006
D43,Shooting,139,Scarborough Village (139),2006-03-14T01:00:00Z,2006
D51,Shooting,71,Cabbagetown-South St.James Town (71),2006-03-20T01:00:00Z,2006
D12,Shooting,115,Mount Dennis (115),2006-03-27T01:00:00Z,2006
D31,Shooting,25,Glenfield-Jane Heights (25),2006-03-27T01:00:00Z,2006
D31,Other,22,Humbermede (22),2006-04-07T00:00:00Z,2006
D31,Stabbing,26,Downsview-Roding-CFB (26),2006-04-20T00:00:00Z,2006
D33,Stabbing,47,Don Valley Village (47),2006-04-26T00:00:00Z,2006
D54,Shooting,44,Flemingdon Park (44),2006-04-29T00:00:00Z,2006
